"","Player","Tm","seson17_18"
"1","Stephen Curry","GSW",40231758
"2","Chris Paul","OKC",38506482
"3","Russell Westbrook","HOU",38178000
"4","John Wall","WAS",37800000
"5","James Harden","HOU",37800000
"6","LeBron James","LAL",37436858
"7","Kevin Durant","BRK",37199000
"8","Kemba Walker","BOS",34379100
"9","Blake Griffin","DET",34234964
"10","Kyle Lowry","TOR",33296296
"11","Paul George","LAC",33005556
"12","Klay Thompson","GSW",32742000
"13","Jimmy Butler","MIA",32742000
"14","Kawhi Leonard","LAC",32742000
"15","Gordon Hayward","BOS",32700690
"16","Mike Conley","UTA",32511623
"17","Kyrie Irving","BRK",31742000
"18","Tobias Harris","PHI",31034483
"19","Khris Middleton","MIL",30603448
"20","Paul Millsap","DEN",30500000
"21","Damian Lillard","POR",29802321
"22","Kevin Love","CLE",28900000
"23","Nikola Vučević","ORL",2.8e+07
"24","Al Horford","PHI",2.8e+07
"25","DeMar DeRozan","SAS",27739975
"26","CJ McCollum","POR",27556959
"27","Kristaps Porziņģis","DAL",27285000
"28","D'Angelo Russell","GSW",27285000
"29","Andrew Wiggins","MIN",27270000
"30","Joel Embiid","PHI",27270000
"31","Otto Porter","CHI",27250576
"32","Devin Booker","PHO",27250000
"33","Karl-Anthony Towns","MIN",27250000
"34","Bradley Beal","WAS",27093019
"35","Anthony Davis","LAL",27093019
"36","Andre Drummond","DET",27093019
"37","Hassan Whiteside","POR",27093018
"38","Nikola Jokić","DEN",26573595
"39","Jrue Holiday","NOP",26131111
"40","LaMarcus Aldridge","SAS",2.6e+07
"41","Steven Adams","OKC",25842697
"42","Giannis Antetokounmpo","MIL",25842697
"43","Marc Gasol","TOR",25595700
"44","Nicolas Batum","CHO",25565217
"45","Chandler Parsons","ATL",25102511
"46","Rudy Gobert","UTA",25008427
"47","Serge Ibaka","TOR",23271604
"48","Danilo Gallinari","OKC",22615559
"49","Victor Oladipo","IND",2.1e+07
"50","Malcolm Brogdon","IND",2e+07
"51","Terry Rozier","CHO",19894737
"52","Aaron Gordon","ORL",19863636
"53","Zach LaVine","CHI",19500000
"54","Kent Bazemore","POR",19269662
"55","Tyler Johnson","PHO",19245370
"56","Goran Dragić","MIA",19217900
"57","Jeff Teague","MIN",1.9e+07
"58","Harrison Barnes","SAC",18973214
"59","Evan Turner","ATL",18606557
"60","Draymond Green","GSW",18539130
"61","Tristan Thompson","CLE",18539130
"62","Allen Crabbe","ATL",18500000
"63","Tim Hardaway","DAL",18150000
"64","Reggie Jackson","DET",18086956
"65","Myles Turner","IND",1.8e+07
"66","Julius Randle","NYK",1.8e+07
"67","Gary Harris","DEN",17839286
"68","Andre Iguodala","MEM",17185185
"69","Bojan Bogdanović","UTA",1.7e+07
"70","Evan Fournier","ORL",1.7e+07
"71","Bismack Biyombo","CHO",1.7e+07
"72","Derrick Favors","NOP",16900000
"73","Clint Capela","HOU",16456522
"74","Gorgui Dieng","MIN",16229213
"75","Ricky Rubio","PHO",16190476
"76","Jonas Valančiūnas","MEM",1.6e+07
"77","Brandon Knight","CLE",15643750
"78","Eric Bledsoe","MIL",15625000
"79","Kelly Oubre","PHO",15625000
"80","Dennis Schröder","OKC",15500000
"81","Ian Mahinmi","WAS",15450051
"82","James Johnson","MIA",15349400
"83","Marvin Williams","CHO",15006250
"84","Bobby Portis","NYK",1.5e+07
"85","Marcus Morris","NYK",1.5e+07
"86","Danny Green","LAL",14634146
"87","Cody Zeller","CHO",14471910
"88","Eric Gordon","HOU",14057730
"89","Mason Plumlee","DEN",14041096
"90","Rudy Gay","SAS",1.4e+07
"91","J.J. Redick","NOP",13486300
"92","Jordan Clarkson","CLE",13437500
"93","Dewayne Dedmon","SAC",13333334
"94","Solomon Hill","MEM",13258781
"95","Justise Winslow","MIA",1.3e+07
"96","Michael Kidd-Gilchrist","CHO",1.3e+07
"97","Will Barton","DEN",12960000
"98","Thaddeus Young","CHI",12900000
"99","Courtney Lee","DAL",12759670
"100","Larry Nance","CLE",12727273
"101","Marcus Smart","BOS",12553471
"102","Terrence Ross","ORL",12500000
"103","Miles Plumlee","MEM",12500000
"104","Patty Mills","SAS",12428571
"105","Patrick Beverley","LAC",12345679
"106","Trevor Ariza","SAC",12200000
"107","Dion Waiters","MIA",12100000
"108","Brook Lopez","MIL",12093024
"109","Jusuf Nurkić","POR",1.2e+07
"110","Cory Joseph","SAC",1.2e+07
"111","Joe Ingles","UTA",11954546
"112","Kelly Olynyk","MIA",11667885
"113","Maurice Harkless","LAC",11511234
"114","Tony Snell","DET",11392857
"115","Robert Covington","MIN",11301219
"116","Meyers Leonard","MIA",11286515
"117","T.J. Warren","IND",10810000
"118","Andre Roberson","OKC",10740741
"119","Spencer Dinwiddie","BRK",10600000
"120","Jeremy Lamb","IND",10500000
"121","Dwight Powell","DAL",10259375
"122","Norman Powell","TOR",10116576
"123","Josh Richardson","PHI",10100000
"124","Tomáš Satoranský","CHI",1e+07
"125","DeAndre Jordan","BRK",9881598
"126","Taj Gibson","NYK",9800000
"127","Zion Williamson","NOP",9757440
"128","Markelle Fultz","ORL",9745200
"129","John Henson","CLE",9732396
"130","Matthew Dellavedova","CLE",9607500
"131","Dante Exum","UTA",9600000
"132","Deandre Ayton","PHO",9562920
"133","Delon Wright","DAL",9473684
"134","Jerami Grant","DEN",9346153
"135","Al-Farouq Aminu","ORL",9258000
"136","George Hill","MIL",9133907
"137","Kyle Anderson","MEM",9073050
"138","Fred VanVleet","TOR",9e+06
"139","Ja Morant","MEM",8730240
"140","C.J. Miles","WAS",8730158
"141","Lonzo Ball","NOP",8719320
"142","E'Twaun Moore","NOP",8664928
"143","Marvin Bagley","SAC",8556120
"144","Bogdan Bogdanović","SAC",8529386
"145","Tyus Jones","MEM",8408000
"146","P.J. Tucker","HOU",8349039
"147","Cristiano Felício","CHI",8156500
"148","Ben Simmons","PHI",8113930
"149","Kentavious Caldwell-Pope","LAL",8089282
"150","Maxi Kleber","DAL",8e+06
"151","Lou Williams","LAC",8e+06
"152","Elfrid Payton","NYK",8e+06
"153","Thomas Bryant","WAS",7936508
"154","RJ Barrett","NYK",7839960
"155","Jayson Tatum","BOS",7830000
"156","Jae Crowder","MEM",7815533
"157","Wayne Ellington","NYK",7804878
"158","Luka Dončić","DAL",7683360
"159","Joe Harris","BRK",7670000
"160","Seth Curry","DAL",7441860
"161","Doug McDermott","IND",7333334
"162","Langston Galloway","DET",7333333
"163","Derrick Rose","DET",7317073
"164","Brandon Ingram","NOP",7265485
"165","D.J. Augustin","ORL",7250000
"166","Darius Miller","NOP",7250000
"167","De'Andre Hunter","ATL",7068360
"168","Josh Jackson","MEM",7059480
"169","DeMarre Carroll","SAS",7e+06
"170","Dāvis Bertāns","WAS",7e+06
"171","Ersan İlyasova","MIL",7e+06
"172","Jaren Jackson","MEM",6927480
"173","Nemanja Bjelica","SAC",6825000
"174","Jaylen Brown","BOS",6534829
"175","Jabari Parker","ATL",6500000
"176","Ivica Zubac","LAC",6481482
"177","Joakim Noah","NYK",6431666
"178","Darius Garland","CLE",6400920
"179","De'Aaron Fox","SAC",6392760
"180","Trae Young","ATL",6273000
"181","Montrezl Harrell","LAC",6e+06
"182","Ish Smith","WAS",5853659
"183","Marco Belinelli","SAS",5846154
"184","Jarrett Culver","MIN",5813640
"185","Jonathan Isaac","ORL",5806440
"186","Rodney Hood","POR",5718000
"187","Mohamed Bamba","ORL",5697600
"188","Dwight Howard","MEM",5603850
"189","Timofey Mozgov","ORL",5573333
"190","Trey Lyles","SAS",5500000
"191","Deron Williams","BRK",5474787
"192","Aron Baynes","PHO",5453280
"193","Kris Dunn","CHI",5348007
"194","Josh Smith","DET",5331729
"195","Coby White","CHI",5307120
"196","Lauri Markkanen","CHI",5300400
"197","Ryan Anderson","MIA",5214583
"198","Wendell Carter","CHI",5201400
"199","Pau Gasol","SAS",5100000
"200","Daniel Theis","BOS",5e+06
"201","Luol Deng","LAL",4990000
"202","Jaxson Hayes","NOP",4862040
"203","Buddy Hield","SAC",4861208
"204","Frank Ntilikina","NYK",4855800
"205","Ed Davis","UTA",4767000
"206","Richaun Holmes","SAC",4767000
"207","Frank Kaminsky","PHO",4767000
"208","Mike Scott","PHI",4767000
"209","Avery Bradley","LAL",4767000
"210","Robin Lopez","MIL",4767000
"211","JaMychal Green","LAC",4767000
"212","Garrett Temple","BRK",4767000
"213","Enes Kanter","BOS",4767000
"214","Collin Sexton","CLE",4764960
"215","Rodney McGruder","LAC",4629630
"216","Kevon Looney","GSW",4629630
"217","Rui Hachimura","WAS",4469160
"218","Dennis Smith","NYK",4463640
"219","Jamal Murray","DEN",4444746
"220","Kevin Knox","NYK",4380120
"221","Cam Reddish","ATL",4245720
"222","Zach Collins","POR",4240200
"223","Mikal Bridges","PHO",4161000
"224","Alex Len","ATL",4160000
"225","Cameron Johnson","PHO",4033440
"226","Malik Monk","CHO",4028400
"227","Dorian Finney-Smith","DAL",4e+06
"228","JaVale McGee","LAL",4e+06
"229","Patrick McCaw","TOR",4e+06
"230","Reggie Bullock","NYK",4e+06
"231","Shai Gilgeous-Alexander","OKC",3952920
"232","Nicolò Melli","NOP",3902439
"233","PJ Washington","CHO",3831840
"234","Luke Kennard","DET",3827160
"235","Miles Bridges","CHO",3755400
"236","Jakob Pöltl","SAS",3754886
"237","Tyler Herro","MIA",3640200
"238","Donovan Mitchell","UTA",3635760
"239","Stanley Johnson","TOR",3623000
"240","Jake Layman","MIN",3581986
"241","Thon Maker","DET",3569643
"242","Jerome Robinson","LAC",3567720
"243","Allonzo Trier","NYK",3551100
"244","Danuel House","HOU",3540000
"245","Domantas Sabonis","IND",3529555
"246","Mirza Teletović","MIL",3500000
"247","DeMarcus Cousins","LAL",3500000
"248","Dario Šarić","PHO",3481986
"249","Taurean Waller-Prince","BRK",3481986
"250","Romeo Langford","BOS",3458400
"251","Bam Adebayo","MIA",3454080
"252","Kyle Korver","PHO",3440000
"253","Michael Porter","DEN",3389400
"254","Denzel Valentine","CHI",3377569
"255","Juan Hernangómez","DEN",3321030
"256","Sekou Doumbouya","DET",3285120
"257","Justin Jackson","DAL",3280920
"258","Troy Brown","WAS",3219480
"259","Markieff Morris","DET",3200000
"260","Jon Leuer","MIL",3169348
"261","Yogi Ferrell","SAC",3150000
"262","Guerschon Yabusele","BOS",3117240
"263","Zhaire Smith","PHI",3058800
"264","Khem Birch","ORL",3e+06
"265","Ryan Arcidiacono","CHI",3e+06
"266","Quinn Cook","LAL",3e+06
"267","Ömer Aşık","CHI",3e+06
"268","Nickeil Alexander-Walker","NOP",2964840
"269","D.J. Wilson","MIL",2961120
"270","Cedi Osman","CLE",2907143
"271","Donte DiVincenzo","MIL",2905800
"272","Bryn Forbes","SAS",2875000
"273","Andrew Nicholson","POR",2844429
"274","Goga Bitadze","IND",2816760
"275","T.J. Leaf","IND",2813280
"276","Lonnie Walker","SAS",2760480
"277","Alex Caruso","LAL",2750000
"278","Malik Beasley","DEN",2731714
"279","Luka Šamanić","SAS",2689920
"280","John Collins","ATL",2686560
"281","Kevin Huerter","ATL",2636280
"282","Caris LeVert","BRK",2625718
"283","DeAndre' Bembry","ATL",2603982
"284","Matisse Thybulle","PHI",2582160
"285","Harry Giles","SAC",2578800
"286","Jeff Green","UTA",2564753
"287","Anthony Tolliver","POR",2564753
"288","Wesley Matthews","MIL",2564753
"289","Rajon Rondo","LAL",2564753
"290","Jared Dudley","LAL",2564753
"291","Tyson Chandler","HOU",2564753
"292","Gerald Green","HOU",2564753
"293","Wilson Chandler","BRK",2564753
"294","Josh Okogie","MIN",2530680
"295","Rondae Hollis-Jefferson","TOR",2500000
"296","Brandon Clarke","MEM",2478840
"297","Terrance Ferguson","OKC",2475840
"298","Grayson Allen","MEM",2429400
"299","Grant Williams","BOS",2379840
"300","Jarrett Allen","BRK",2376840
"301","Pascal Siakam","TOR",2351839
"302","Skal Labissière","POR",2338847
"303","Chandler Hutchison","CHI",2332320
"304","Patrick Patterson","LAC",2331593
"305","Dejounte Murray","SAS",2321735
"306","Isaiah Thomas","WAS",2320044
"307","Alec Burks","GSW",2320044
"308","Damian Jones","ATL",2305057
"309","Darius Bazley","OKC",2284800
"310","OG Anunoby","TOR",2281800
"311","Ante Žižić","CLE",2281800
"312","Monta Ellis","IND",2245400
"313","Aaron Holiday","IND",2239200
"314","Luke Kornet","CHI",2195122
"315","Ty Jerome","PHO",2193480
"316","Willie Cauley-Stein","GSW",2177483
"317","Austin Rivers","HOU",2174318
"318","Anfernee Simons","POR",2149560
"319","Matt Barnes","SAC",2133541
"320","Nassir Little","POR",2105520
"321","Torrey Craig","DEN",2100000
"322","Moritz Wagner","WAS",2063520
"323","Dylan Windler","CLE",2035800
"324","Caleb Swanigan","SAC",2033160
"325","Kyle O'Quinn","PHI",2028594
"326","Michael Carter-Williams","ORL",2028594
"327","Nerlens Noel","OKC",2028594
"328","Mike Muscala","OKC",2028594
"329","Troy Daniels","LAL",2028594
"330","Trey Burke","PHI",2028594
"331","Spencer Hawes","MIL",2007058
"332","Edmond Sumner","IND",2e+06
"333","Noah Vonleh","MIN",2e+06
"334","Avery Bradley","MEM",2e+06
"335","Landry Shamet","LAC",1995120
"336","Mfiondu Kabengele","LAC",1977000
"337","Kyle Kuzma","LAL",1974600
"338","Jordan Poole","GSW",1964760
"339","Tony Bradley","UTA",1962360
"340","Keldon Johnson","SAS",1950600
